Sentence,Labels
are inferior to whites,Social status
were slaves,Social status
deserve to be called names,Mistreatment
are worth less than men,"Ability, Social status"
are overprotective of their children,"Family & relationship, Personality"
are violent,Crime
are poor,Financial status
are inferior to white people and should not date/marry them,Social status
are sex objects,Mistreatment
are only good for sex,Ability
are subhuman,Social status
are worthless,Ability
are ugly,Appearance
are monkeys,"Appearance, Personality"
are always getting out of jail,Crime
they want to do is kill white people,Crime
are disgusting,Personality
shouldn't play sports,"Mistreatment, Social status"
are mentally ill,Health
were burned to death,Mistreatment
don't take care of themselves,Personality
commit crimes,Crime
kill others,Crime
cant learn english,Ability
deserve to be captured,"Mistreatment, Crime"
have no rights,Social status
are targeted by police,"Mistreatment, Social status, Crime"
commit incest,Family & relationship
are not worthy of respect,"Mistreatment, Social status, Personality"
don't have dads,Family & relationship
do not deserve the same rights as men,Social status
are dumb,Ability
rape people,Crime
are bad at sports,Ability
have big butts,Appearance
want to beat up white folks,Crime
are bad,"Ability, Personality"
are less than human,"Ability, Social status"
don't have rights,Social status
are criminals,Crime
should be owned by whites,Social status
don't belong in the usa,Social status
"are ""hoes""","Social status, Personality"
are terrorists,"Belief, Crime"
are lazy,"Ability, Personality"
are lazy,"Ability, Personality"
are property to some men,Social status
are for doing housework,"Ability, Social status"
complain too much,Personality
steal money,Crime
are lesser,"Ability, Social status"
can't do things as good as white people,Ability
should not be treated equal,Mistreatment
are animals,Personality
are not worthy of living,Mistreatment
are promiscuous,Personality
hate jewish people,"Morality, Belief"
are feminists and rape victims,"Belief, Crime"
in wheelchairs are weak,Health
are greedy,Personality
with down syndrome are socially inept,Health
bomb everything,"Personality, Crime"
are hated,Mistreatment
are sensitive,Personality
are equivalent to feces,"Ability, Social status"
should be picking cotton,"Ability, Mistreatment, Social status"
are taking over,"Mistreatment, Social status"
are homophobic,"Morality, Personality"
have std's,Health
just have sex,Personality
should only cook and clean,"Mistreatment, Social status"
were burned alive,Mistreatment
deserve to be bombed,Mistreatment
are mean,Personality
don't like blacks,Morality
are annoying,Personality
should be seperated from their families,"Family & relationship, Mistreatment"
are weak,"Ability, Social status, Health"
with dark skin look like animals,Appearance
are like a vegetable,"Ability, Appearance"
don't like men,"Morality, Personality"
are rapists,Crime
only want sex,Personality
have hooked noses,Appearance
that are treated badly deserve it,"Mistreatment, Crime"
cant fend for themselves,Ability
are like dogs,"Personality, Appearance"
are abused by men,Mistreatment
are bad parents,"Family & relationship, Personality"
start fights,Crime
are fat,Appearance
arent real humans,"Social status, Personality"
should be killed,Mistreatment
hate black people,"Morality, Personality"
should be obedient to men,Social status
should be controlled,Social status
are on welfare,Financial status
should be objectified,Mistreatment
are funny,Personality
eat cats,Personality
are all here illegally,"Crime, Social status"
don't want to work,Personality
all have aids,Health
are a waste,"Ability, Social status"
are at the bottom of society,Social status
should be physically abused,Mistreatment
are objects to be used,"Mistreatment, Social status"
are bitches,Personality
