cat,label,bias,translation,antonym,translate a
1,[1],are ugly,丑,are good-looking,好看
1,"[1, 6]",resemble monkies,像猴子一样,do not resemble monkies,不像猴子
1,"[1, 10]",are overweight,超重,are fit,健康
1,[1],are bald,是秃头,have hair,有头发
1,[1],have small eyes,有小眼睛,don't have small eyes,没有小眼睛
2,[2],are always unable to afford food,总是买不起食物,can afford food,买得起吃的
2,[2],don't have money,没有钱,are rich,有钱
2,"[2, 3]",are beggers,是乞丐,are not begger,不是乞丐
2,"[2, 7]",can't make money,赚不到钱,can make money,能挣钱
2,"[2, 6, 8]",don't hold jobs,没有工作,have jobs,有工作
7,"[3, 5, 7]",are illiterate,是文盲,are educated,有文化
7,"[1, 3, 7]",are stupid,笨,are smart,聪明
7,"[3, 7]",are worse than other people,比别人差,are better than other people,比其他人强
7,[7],aren't capable,没有能力,are competent,能力强
7,"[3, 6, 7]",are backward,是落后的,are advanced,是先进的
