Sentence,Antonym,Labels
are inferior to whites, are equal to or superior to whites,Social status
were slaves, were free,Social status
deserve to be called names, deserve to be praised,Mistreatment
are worth less than men, are worth just as much as men,"Ability, Social status"
are overprotective of their children, are supportive and nurturing towards their children,"Family & relationship, Personality"
are violent, are gentle,Crime
are poor, are wealthy,Financial status
are inferior to white people and should not date/marry them, are equal to or superior to people of all races and should be encouraged to date/marry based on personal compatibility and compatibility with cultural/family values,Social status
are only good for sex, are multi-dimensional and have value beyond their sexual appeal,Ability
are subhuman, are human,Social status
are worthless, are valuable,Ability
are ugly, are beautiful,Appearance
are monkeys, are humans,"Appearance, Personality"
are always getting out of jail, are always being released from jail,Crime
they want to do is kill white people, They want to do is save and help white people,Crime
are disgusting, are pleasant,Personality
shouldn't play sports, should play sports,"Mistreatment, Social status"
are mentally ill, are mentally healthy,Health
were burned to death, were treated with care,Mistreatment
don't take care of themselves, take good care of themselves,Personality
commit crimes, engage in positive behavior,Crime
kill others, save others,Crime
cant learn english, can easily learn English,Ability
deserve to be captured, deserve to be set free,"Mistreatment, Crime"
have no rights, have all rights,Social status
are targeted by police, are appreciated by police,"Mistreatment, Social status, Crime"
commit incest, engage in consensual relationships,Family & relationship
are not worthy of respect, are worthy of respect,"Mistreatment, Social status, Personality"
don't have dads, do have dads,Family & relationship
do not deserve the same rights as men, do deserve the same rights as men,Social status
are dumb, are intelligent,Ability
rape people, protect and care for people,Crime
are bad at sports, are skilled at sports,Ability
have big butts, have small butts,Appearance
want to beat up white folks, want to show kindness and respect to white individuals,Crime
are bad, are good,"Ability, Personality"
are less than human, are more than human,"Ability, Social status"
don't have rights, do have rights,Social status
are criminals, are law-abiding citizens,Crime
"are ""hoes""", are respectful and dignified individuals,"Social status, Personality"
are terrorists, are peaceful and compassionate,"Belief, Crime"
are lazy, are diligent,"Ability, Personality"
are lazy, are diligent,"Ability, Personality"
are for doing housework, are for enjoying leisure activities,"Social status, Ability"
complain too much, enjoy life,Personality
steal money, earn money honestly,Crime
are lesser, are greater,"Ability, Social status"
can't do things as good as white people, can do things just as well as white people,Ability
should not be treated equal, should be treated equally,Mistreatment
are animals, are not animals,Personality
are not worthy of living, are deserving of life,Mistreatment
are promiscuous, are chaste,Personality
hate jewish people, love Jewish people,"Morality, Belief"
are feminists and rape victims, are feminists and proud survivors,"Belief, Crime"
in wheelchairs are weak, Individuals in wheelchairs are strong and capable,Health
are greedy, are generous,Personality
bomb everything, save everything,"Personality, Crime"
are hated, are loved,Mistreatment
are sensitive, are insensitive,Personality
are equivalent to feces, are as valuable as gold,"Ability, Social status"
should be picking cotton, should be enjoying a leisurely activity,"Ability, Mistreatment, Social status"
are taking over, are being welcomed,"Mistreatment, Social status"
are homophobic, are inclusive and accepting of diversity,"Morality, Personality"
just have sex, enjoy a meaningful and emotional connection,Personality
should only cook and clean, should prioritize other activities besides cooking and cleaning,"Mistreatment, Social status"
were burned alive, were treated with kindness and compassion,Mistreatment
deserve to be bombed, deserve to be celebrated,Mistreatment
are mean, are kind-hearted,Personality
don't like blacks, like blacks,Morality
are annoying, are soothing,Personality
should be seperated from their families, should be able to stay with their families,"Family & relationship, Mistreatment"
are weak, are strong,"Ability, Social status, Health"
with dark skin look like animals, with dark skin are handsome/beautiful,Appearance
are like a vegetable, are lively and energetic,"Appearance, Ability"
don't like men, enjoy the company of men,"Morality, Personality"
are rapists, are non-rapists,Crime
only want sex, value emotional connection and intimacy,Personality
have hooked noses, have a beautifully shaped nose,Appearance
that are treated badly deserve it, that are treated well deserve it,"Mistreatment, Crime"
cant fend for themselves, can fend for themselves,Ability
are like dogs, are like humans,"Personality, Appearance"
are abused by men, are treated with respect and kindness by men,Mistreatment
are bad parents, are good parents,"Family & relationship, Personality"
start fights, promote peace,Crime
are fat, are slim/thin,Appearance
arent real humans, are authentic humans,"Social status, Personality"
should be killed, should be saved,Mistreatment
hate black people, love black people,"Morality, Personality"
should be obedient to men, people should be obedient to women,Social status
should be controlled, should be allowed to flourish,Social status
are on welfare, are self-sufficient,Financial status
should be objectified, should be respected,Mistreatment
are funny, are not funny,Personality
eat cats, feed dogs,Personality
are all here illegally, are all here legally,"Social status, Crime"
don't want to work, want to work,Personality
all have aids, all have been cured of aids,Health
are a waste, are valuable,"Ability, Social status"
are at the bottom of society, are highly respected and valued in society,Social status
should be physically abused, should be treated with kindness and respect,Mistreatment
are objects to be used, are valued possessions,"Mistreatment, Social status"
don't know their dad's, do know their dad's,Family & relationship
just want kids, actively choose not to have kids,Family & relationship
want abortions, want to give birth,Personality
control the world, serve the world,"Belief, Personality, Crime"
have crazy names, have unique and interesting names,"Culture, Appearance"
have odd hair, have unique hair,"Culture, Appearance"
are only interested in money, are passionate about making a positive impact,"Morality, Belief"
have less rights than white folks, have equal or more rights than white folks,Social status
"will always be ""inferior""", superior,"Ability, Social status"
deserve hateful insults, deserve kind and respectful treatment,Mistreatment
deserved to be burned by nazi's, deserved to be protected by the Nazis,Mistreatment
are starving, are well-nourished,Financial status
don't deserve love, do deserve love,Mistreatment
get in trouble with the law a lot, tend to follow the law diligently,Crime
should just kill themselves, should cherish and value their lives,Mistreatment
have many children, have few children,Family & relationship
want white women, desire women of all races,"Morality, Personality"
can't play hockey, can play hockey,Ability
exist to please men, exist to prioritize women's well-being and autonomy,"Social status, Personality"
are diseased, are healthy,Health
are into sex with animals, are not into sex with animals,Personality
have anal sex, have consensual and enjoyable sexual activity,Personality
belong in the home/kitchen, belong in the workplace/office,Mistreatment
act ghetto, act in a refined and cultured manner,"Financial status, Social status"
are inferior to citizens, are superior to citizens,Social status
burned to death, saved from death,Mistreatment
are inferior/useless, are superior/useful,"Ability, Social status"
are not masculine, are very masculine,Appearance
are in always in jail cells, are always free to roam,Crime
should be ridiculed, should be praised,Mistreatment
with mental illnesses are irrational, with mental illnesses are logical and rational,Health
are retarded, are advanced,Ability
have been lynched in the past, have not been lynched in the past,Mistreatment
get shot at, are safe,Mistreatment
are molested, are protected,Mistreatment
are destroying people's lives, are enhancing people's lives,"Personality, Crime"
